category,name,short_desc,full_desc
アミノ酸,チロシン,非必須アミノ酸の一種で、ドーパミンやノルアドレナリンの前駆物質として働きます。,非必須アミノ酸の一種で、ドーパミンやノルアドレナリンの前駆物質として働きます。うつ症状が発生しているときには、脳内のチロシン濃度が低下していることも知られています。
アミノ酸,NアセチルLチロシン,ドーパミンやノルアドレナリンの分泌を促すチロシンに、吸収効率を高めることを目的にアセチル化を施した物質です。,チロシンを更にSoluble、Bioavailableにし吸収効率を高めることを図るためにアセチル化したものです。
アミノ酸,トリプトファン,必須アミノ酸の一つであり、脳内の神経伝達物質であり睡眠に関連の深いセロトニンやメラトニンの原料となります。,必須アミノ酸の一つであり、脳内の神経伝達物質であり睡眠のコントロールに関連の深いセロトニンやメラトニンの原料となります。食物ではタンパク質を多く含む食材に豊富に含まれています。
アミノ酸,オルニチン,食物ではシジミに豊富に含まれる遊離アミノ酸で、肝機能を正常に保ちます。,自然界に多く存在する遊離アミノ酸で、食物ではシジミに豊富に含まれます。肝臓においてアンモニアと結合する中間体として働き、肝機能を正常に保ちます。
アミノ酸,アルギニン,天然に存在するアミノ酸の一つで、尿素回路内における中間体としてアンモニアの無毒化に働きます。,天然に存在するアミノ酸の一つで、尿素回路内における中間体としてアンモニアの無毒化に働きます。
アミノ酸,グルタミン,生体内に最も多く含まれるアミノ酸であり、アミノ基転移酵素の基質として様々な生体機能に関わっています。,生体内に最も多く含まれるアミノ酸であり、アミノ基転移酵素の基質として様々な生体機能に関わっています。
スペシャリティ,コリン,ビタミン様物質の一つで、神経伝達物質であるアセチルコリンの前駆物質として働きます。,食品ではレバー、ピーナッツ等に豊富に含まれ、生体内ではアミノ酸のセリンやメチオニンなどから合成されるビタミン様物質です。認知機能に深く関係のある、神経伝達物質であるアセチルコリンの前駆物質として働きます。
スペシャリティ,ホスファチジルセリン,脳や神経組織に多く含まれるリン脂質の一種で、脳の機能改善への効果が期待されています。,脳や神経組織に多く含まれるリン脂質の一種で、ヒト脳の全リン脂質の約18％を占めます。脳の機能改善やアルツハイマー病への効果が期待されています。食物では大豆やキャベツに豊富に含まれます。
スペシャリティ,スルフォラファン,ブロッコリーなどに微量含まれるファイトケミカルの一種であり、肝機能やメンタルヘルスへの効果が期待され研究が進められています。,ブロッコリーなどに微量含まれるファイトケミカルの一種であり、肝機能やメンタルヘルスへの効果が期待され研究が進められています。
ハーブ,ロディオラ,アダプトゲン(肉体的な疲労や精神的ストレスへの抵抗力を高めるとされるハーブ)の一種で、岩場などの厳しい環境でたくましく生育します。,日本語ではイワベンケイと呼ばれるアダプトゲン(肉体的な疲労や精神的ストレスに抵抗する働きを高めるとされるハーブ)の一種で、岩場などの厳しい環境下に生育します。
ハーブ,バコパ,アーユルヴェーダで歴史的に取り入れられているゴマノハグサ科の多年草で、インドでは'冴えるハーブ'として認知されています。,アーユルヴェーダで歴史的に用いられているゴマノハグサ科の多年草で、インドでは'冴えるハーブ'として認知されています。
ハーブ,テアニン,緑茶に含まれる旨味成分で、リラックス効果が期待されており、睡眠の質の向上にも資すると言われています。,緑茶に含まれる旨味成分で、茶葉に多く含まれます。リラックス効果が期待されており、睡眠の質の向上にも資すると言われています。
ハーブ,バレリアン,ヨーロッパや北アジア原産の多年草で、欧州医薬品庁では不眠や不安障害に対する医薬品として認知されています。,ヨーロッパや北アジア原産の多年草で、欧州医薬品庁では不眠や不安障害に対する効果が認められ医薬品として使用されています。
ハーブ,セントジョーンズワート,ヨーロッパ原産の多年草で、ドイツのコミッションE(薬用植物評価委員会)は軽度のうつ症状に対する使用を認めています。,ヨーロッパ原産の多年草で、ドイツのコミッションE(薬用植物評価委員会)には軽度のうつ症状に対する使用も認められています。
ハーブ,シリマリン,夏には美しい淡紫色の花をつける2年草で、肝機能の改善効果があるとされ研究が進んでいます。,南ヨーロッパ、北アフリカ、アジアに広く生息する2年草で、夏には美しい淡紫色の花をつけます。
ビタミン/ミネラル,マグネシウム,必須ミネラルの一つで自然由来の精神安定剤とも言われ、不足すると神経、精神疾患等を引き起こすリスクが認められています。,必須ミネラルの一つで自然由来の精神安定剤とも言われ、不足すると神経疾患、精神疾患等を引き起こすリスクが認められています。
ビタミン/ミネラル,ビタミンD3,カルシウムの向上性維持に寄与し、日光にあたることで皮膚で組成される成分です。,カルシウムの向上性維持に寄与し、日光にあたることで皮膚で組成される成分です。日光にあたる機会が少ない場合や強い日焼け止めを塗っている場合等に不足する可能性があります。
ビタミン/ミネラル,ビタミンC,柑橘類等に多く含まれ、強い酸味を持ちます。体内では抗酸化物質として重要な役割を果たします。,柑橘類等に多く含まれ、強い酸味を持ちます。体内では抗酸化物質として重要な働きを持ちます。ストレス環境下や喫煙者においては大きく不足しやすいと言われています。
ビタミン/ミネラル,亜鉛,必須ミネラルの一つで、免疫機能全般に関与していると言われています。日本人には不足しがちな栄養素です。,亜鉛は必須ミネラルの一つで、免疫機能全般に関与していると言われています。日本人には不足しがちな栄養素です。
